===PREVIEW===
Lowest verified Sodimac Brasil offers for CEP 13380-000 (Nova Odessa/SP).
These quotations must not be auto-selected and exclude unknown freight.
===END_PREVIEW===
===FILE: PRICE_PACK.csv===
id,description,quotation_id,unit_price,quantity,unit,vendor,shipping_cost,total_price,product_url,price_notes,checked_at,selected,currency,brand,model,specifications,package_size,availability,seller_location,quote_valid_until,source_type,source_name,source_page,extraction_confidence,ambiguities
EXP_0048,"Silicone, espuma expansiva, selante PU",SODIMAC_20260917,83.7,1,kit,Sodimac Brasil,0,83.7,https://www.sodimac.com.br/sodimac-br/product/1091565/silicone-acetico-pro-sil-uso-geral-250ml/1091565/,Produto: Kit 3 produtos: Silicone Acético Pro Sil Uso Geral Incolor 250ml Topex + Espuma Expansiva PU 320g/500ml Tekbond + Selante PU 40 Branco 400G. Preço exibido: R$ 83.70. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,1091565+1804243+913163,"{""components"":[{""role"":""silicone"",""product"":""Silicone Acetico Pro Sil Uso Geral 250ml Topex (incolor)"",""sku"":""1091565"",""price_brl"":26.9,""url"":""https://www.sodimac.com.br/sodimac-br/product/1091565/silicone-acetico-pro-sil-uso-geral-250ml/1091565/""},{""role"":""espuma_expansiva"",""product"":""Espuma Expansiva de Pu 320g/500ml Tekbond"",""sku"":""1804243"",""price_brl"":32.9,""url"":""https://www.sodimac.com.br/sodimac-br/product/1804243/espuma-expansiva-de-pu-320g-500ml/1804243/""},{""role"":""selante_pu"",""product"":""Selante Pu 40 Branco 400G"",""sku"":""913163"",""price_brl"":23.9,""url"":""https://www.sodimac.com.br/sodimac-br/product/913163/selante-pu-40-branco-400g/913163/""}]}",kit 3 produtos (comprados separados),in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,No single catalog SKU kit of all three was used; price is the sum of three separate qty-1 products.; Silicone is 250 ml incolor (near 250–280 ml comparable). PU cartridge is 400 g (near 300–360 g comparable).; Component URLs: silicone https://www.sodimac.com.br/sodimac-br/product/1091565/silicone-acetico-pro-sil-uso-geral-250ml/1091565/ ; espuma https://www.sodimac.com.br/sodimac-br/product/1804243/espuma-expansiva-de-pu-320g-500ml/1804243/ ; selante PU https://www.sodimac.com.br/sodimac-br/product/913163/selante-pu-40-branco-400g/913163/; Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0049,Lona para proteção da obra,SODIMAC_20260917,0.645,1,metro quadrado (m²),Sodimac Brasil,0,0.65,https://www.sodimac.com.br/sodimac-br/product/1800435/lona-plastica-preto-4x50m/1800435/,Produto: Lona Plástica Preto 4x50m Plasitap. Preço exibido: R$ 129.00. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,1800435,"{""brand"":""Plasitap"",""color"":""Preta"",""dimensions_m"":""4 x 50"",""area_m2"":200,""material"":""Polietileno""}",bobina 4×50 m (200 m²),in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified normalized per-m² price among available black plastic tarp sheets/rolls.; Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0026,Portas internas,SODIMAC_20260917,634.0,1,unidade,Sodimac Brasil,0,634.0,https://www.sodimac.com.br/sodimac-br/product/1694411002/kit-porta-80x210cm-abertura-esquerda-batente-de-75mm-em-pintura-uv-sem-fechadura-pronta-para-instalar/1694411002/,Produto: Kit Porta 80x210cm Abertura Esquerda Batente de 75mm em Pintura Uv sem Fechadura Pronta para Instalar. Preço exibido: R$ 634.00. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,1694411002,"{""brand"":""Eucatex"",""material"":""MDF RU com pintura UV"",""core"":""Colmeia"",""dimensions_cm"":""210 x 80 x 3,5"",""opening"":""Esquerda"",""includes"":""Batentes, guarnição, folha, borracha amortecedora, dobradiças"",""lock"":""Não contém fechadura"",""use"":""Porta de giro ambiente interno""}",1 kit porta completa,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified qty-1 price among comparable complete interior door kits near standard 80x210. Leaf-only opções (e.g. folha 210x82) are cheaper but excluded from winner ranking as incomplete kits. Fechadura not included. Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0027,Porta Balcão (R$2000),SODIMAC_20260917,2199.0,1,unidade,Sodimac Brasil,0,2199.0,https://www.sodimac.com.br/sodimac-br/product/1701989/porta-de-correr-3-folhas-moveis-vidro-liso-branca-210x150/1701989/,Produto: Porta de Correr 3 Folhas Moveis Vidro Liso Branca 210x150. Preço exibido: R$ 2199.00. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,1701989,"{""material"":""Alumínio"",""color"":""Branco"",""dimensions_cm"":""210 x 150"",""leaves"":3,""glass"":""Vidro liso"",""type"":""Porta de correr""}",1 porta de correr,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified qty-1 sliding aluminum/glass porta-balcão comparable. Width 150 cm is narrower than a typical ~200 cm balcony opening; veneziana alternatives are higher-priced candidates. Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0029,Janela (quartos e escritório),SODIMAC_20260917,349.0,1,unidade,Sodimac Brasil,0,349.0,https://www.sodimac.com.br/sodimac-br/product/1701519/janela-de-correr-4-folhas-sem-grade-aluminio-branco-100x120cm/1701519/,Produto: Janela de Correr 4 Folhas sem Grade Alumínio Branco 100x120cm. Preço exibido: R$ 349.00. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,1701519,"{""material"":""Alumínio, vidro e acessórios"",""color"":""Branco"",""dimensions_cm"":""100 x 120"",""leaves"":4,""grade"":""Não"",""type"":""Janela de correr""}",1 janela de correr,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified qty-1 4-leaf aluminum sliding window (title/H1) near bedroom/office use. Height is 100 cm vs ~120 cm; Fortsul 843010 confirms 4 leaves explicitly at higher price. Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0030,Vitrô Sala,SODIMAC_20260917,349.0,1,unidade,Sodimac Brasil,0,349.0,https://www.sodimac.com.br/sodimac-br/product/1701519/janela-de-correr-4-folhas-sem-grade-aluminio-branco-100x120cm/1701519/,Produto: Janela de Correr 4 Folhas sem Grade Alumínio Branco 100x120cm. Preço exibido: R$ 349.00. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,1701519,"{""material"":""Alumínio, vidro e acessórios"",""color"":""Branco"",""dimensions_cm"":""100 x 120"",""leaves"":4,""grade"":""Não"",""type"":""Janela de correr"",""indicated_use"":""Sala / vitrô comparável""}",1 janela de correr,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Chosen as lowest verified 4-leaf 100x120 aluminum sliding vitrô comparable (title/H1). Cheaper 2-leaf 100x120 options exist as candidates. Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0031,Vitrôs banheiros,SODIMAC_20260917,139.0,1,unidade,Sodimac Brasil,0,139.0,https://www.sodimac.com.br/sodimac-br/product/1701508/basculante-60x60-branco-vidro-mini-boreal/1701508/,Produto: Basculante 60x60 Branco Vidro Mini Boreal. Preço exibido: R$ 139.00. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,1701508,"{""material"":""Alumínio, vidro e acessórios"",""color"":""Branco"",""dimensions_cm"":""60 x 60"",""type"":""Basculante"",""glass"":""Mini Boreal"",""indicated_use"":""Banheiros""}",1 janela basculante,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified qty-1 bathroom-comparable with evidenced privacy glass (Mini Boreal in title). A cheaper clear/unspecified-glass basculante exists at R$133.00 but was not selected as winner. Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0028,Vaso,SODIMAC_20260917,318.0,1,unidade,Sodimac Brasil,0,318.0,https://www.sodimac.com.br/sodimac-br/product/1806853C/kit-vaso-sanitario-com-caixa-acoplada-araxa-6l-branco-santa-clara/1806853C/,Produto: Kit Vaso Sanitário com Caixa Acoplada Araxa 6L Branco Santa Clara. Preço exibido: R$ 318.00. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,1806853C,"{""brand"":""Santa Clara"",""model"":""Araxa"",""color"":""Branco"",""tank_capacity_l"":6,""components"":""bacia com caixa acoplada""}",1 unidade (kit acoplado),in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 complete coupled-tank toilet kit among priced candidates.; SSR topSpecifications empty on page; title/brand/price taken from productData.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0036,Torneiras,SODIMAC_20260917,34.9,1,unidade,Sodimac Brasil,0,34.9,https://www.sodimac.com.br/sodimac-br/product/780183/torneira-lavatorio-bica-baixa-sevilla-cromado/780183/,Produto: Torneira Lavatório Bica Baixa Sevilla Cromado. Preço exibido: R$ 34.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,780183,"{""brand"":""Karson"",""model"":""Sevilla"",""finish"":""Cromado"",""mount"":""mesa / lavatório"",""spout"":""bica baixa"",""material"":""ABS"",""water"":""água fria""}",1 unidade,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 lavatory faucet with visible internetPrice.; ABS chrome-finish lavatory faucet; installation accessories included.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0037,Sifões e ralos,SODIMAC_20260917,5.9,1,unidade,Sodimac Brasil,0,5.9,https://www.sodimac.com.br/sodimac-br/product/1024259/sifao-sanfonado-extensivel-universal/1024259/,Produto: Sifão Sanfonado Extensivel Universal. Preço exibido: R$ 5.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,1024259,"{""brand"":""Krona"",""type"":""sifão sanfonado extensível universal"",""material"":""PVC"",""color"":""Branco"",""application"":""pia / lavatório""}",1 unidade,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 representative universal siphon.; Representative siphon only; expense label also includes drains (ralos).; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0039,Pias e bancadas,SODIMAC_20260917,199.0,1,conjunto,Sodimac Brasil,0,199.0,https://www.sodimac.com.br/sodimac-br/product/1804069/pia-aco-inox-120x52x11-forminox/1804069/,Produto: Pia Aço Inox 120x52x11 Forminox. Preço exibido: R$ 199.00. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,1804069,"{""brand"":""Forminox"",""material"":""Aço inox"",""length_cm"":120,""width_cm"":52,""depth_cm"":11,""bowl"":""cuba integrada""}",1 unidade (120 x 52 x 11 cm),in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 kitchen inox pia/bancada conjunto (~120 cm).; Kitchen stainless pia/bancada treated as pia/bancada conjunto.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0040,Box de vidro para o banheiro (R$850),SODIMAC_20260917,709.0,1,unidade,Sodimac Brasil,0,709.0,https://www.sodimac.com.br/sodimac-br/product/853903/box-de-banheiro-de-vidro-incolor-6-mm-branco-100-cm-speed-temper/853903/,Produto: Box de Banheiro de Vidro Incolor 6 mm Branco 100 cm Speed Temper. Preço exibido: R$ 709.00. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,853903,"{""brand"":""Speed Temper"",""glass"":""vidro temperado incolor 6 mm"",""frame"":""alumínio branco"",""width_cm"":100,""components"":""porta + fixo + kit alumínio branco""}",1 unidade (box ~100 cm),in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 tempered-glass bathroom box.; Lowest verified qty-1 tempered-glass shower box among Speed Temper listings.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0044,Caixa de água,SODIMAC_20260917,429.9,1,unidade,Sodimac Brasil,0,429.9,https://www.sodimac.com.br/sodimac-br/product/7449/caixa-de-agua-1000l-polietileno-tampa-encaixe-azul-fortlev/7449/,Produto: Caixa De Água 1.000L Polietileno Tampa Encaixe Azul Fortlev. Preço exibido: R$ 429.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,7449,"{""brand"":""Fortlev"",""material"":""polietileno"",""capacity_l"":1000,""lid"":""tampa encaixe"",""color"":""Azul"",""shape"":""Redonda""}",1 unidade (1000 L),in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 1000 L water tank among available listings.; Preferred 1000 L capacity matched.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0033,Quadro de distribuição,SODIMAC_20260917,66.9,1,unidade,Sodimac Brasil,0,66.9,https://www.sodimac.com.br/sodimac-br/product/1797682/quadro-distr-emb-18p-din-iec-pb/1797682/,Produto: Quadro Distr. Emb. 18p Din Iec-pb. Preço exibido: R$ 66.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,1797682,"{""brand"":""Soprano"",""mounting"":""Embutir"",""capacity"":""18 polos DIN"",""color"":""Branco"",""protection"":""IP40"",""door"":""Com porta""}",1 unidade,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 price among comparable 16/18-class distribution boards.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0034,Conduítes,SODIMAC_20260917,1.4962,1,metro linear (m),Sodimac Brasil,0,1.5,https://www.sodimac.com.br/sodimac-br/product/867005/eletroduto-corrugado-dn25-3-4-50m/867005/,Produto: Eletroduto Corrugado DN25-3/4 50m Tramontina. Preço exibido: R$ 74.81. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,867005,"{""brand"":""Tramontina"",""type"":""Eletroduto corrugado"",""diameter"":""DN25 / 3/4\"""",""color"":""Amarelo"",""roll_length_m"":50,""material"":""Termoplástico""}",rolo 50 m,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 normalized per-meter price among DN25 ~50 m corrugated rolls.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
